EPDT L1 Heuristic Performance Profile
==================================================

         2857512386 function calls (2370968542 primitive calls) in 819.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.451    0.451  820.344  820.344 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:82(l1_heuristic)
461895291/1467415  360.030    0.000  741.516    0.001 C:\Python313\Lib\copy.py:119(deepcopy)
16559224/1467415   34.334    0.000  733.576    0.000 C:\Python313\Lib\copy.py:248(_reconstruct)
12491006/1467415   92.568    0.000  721.707    0.000 C:\Python313\Lib\copy.py:218(_deepcopy_dict)
    94949    0.345    0.000  606.843    0.006 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\second_level.py:58(l2_heuristic)
  6165293    6.526    0.000  485.091    0.000 C:\Python313\Lib\copy.py:192(_deepcopy_list)
    94949    2.846    0.000  368.068    0.004 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\second_level.py:91(_generate_initial_task_sequence)
    10490    0.418    0.000  332.736    0.032 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:900(multiple_order_relocation_neighborhood)
     9751    0.464    0.000  302.244    0.031 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:809(two_orders_swap_neighborhood)
    53604    0.217    0.000  238.045    0.004 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\second_level.py:526(local_search_l2)
   140624    1.447    0.000  237.774    0.002 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\second_level.py:207(_task_swap_neighborhood)
     8580    0.229    0.000  164.027    0.019 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:742(single_order_relocation_neighborhood)
940188158  104.332    0.000  104.332    0.000 {method 'get' of 'dict' objects}
   318646    0.480    0.000  101.105    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:797(copy)
  1180752    1.804    0.000   63.870    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:809(is_feasible)
  1180752   17.649    0.000   62.066    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\second_level.py:594(is_feasible)
533793752   42.915    0.000   42.915    0.000 {built-in method builtins.id}
 33118448    6.738    0.000   36.358    0.000 C:\Python313\Lib\copy.py:253(<genexpr>)
   780861   10.913    0.000   28.487    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\hos_simulation.py:324(simulate_hos_advanced)
418382912   26.383    0.000   26.383    0.000 C:\Python313\Lib\copy.py:173(_deepcopy_atomic)
 35215523   14.906    0.000   22.308    0.000 C:\Python313\Lib\copy.py:232(_keep_alive)
 16559224    9.786    0.000   16.409    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.020    0.020   14.748   14.748 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:275(best_insertion_initializer)
 85432780   11.075    0.000   11.075    0.000 {built-in method builtins.getattr}
 12428609    7.481    0.000    7.481    0.000 {method 'update' of 'dict' objects}
 56319935    7.327    0.000    7.327    0.000 {method 'append' of 'list' objects}
 12428040    4.679    0.000    6.706    0.000 C:\Python313\Lib\copyreg.py:98(__newobj__)
  4131188    5.180    0.000    6.623    0.000 C:\Python313\Lib\copyreg.py:107(_slotnames)
  1182603    3.588    0.000    5.844    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\second_level.py:740(_sort_tasks_chronologically)
  2969605    4.086    0.000    5.701    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\hos_simulation.py:105(calculate_travel_time_between_tasks)
 33343893    4.547    0.000    4.552    0.000 {built-in method builtins.hasattr}
 28988969    3.693    0.000    3.693    0.000 {built-in method builtins.isinstance}
  5939210    3.063    0.000    3.597    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:453(can_drive)
 24856080    2.747    0.000    2.747    0.000 {built-in method builtins.issubclass}
    59649    1.585    0.000    2.710    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:1102(calculate_z1_score)
   995740    2.133    0.000    2.618    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\hos_simulation.py:215(apply_break_to_driver_state)
  2552753    1.602    0.000    2.463    0.000 {built-in method builtins.min}
     1140    0.009    0.000    2.340    0.002 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:1012(copy)
  3460666    1.785    0.000    2.227    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:474(can_work)
 13683972    2.119    0.000    2.119    0.000 {method 'items' of 'dict' objects}
 12428040    2.027    0.000    2.027    0.000 {built-in method __new__ of type object at 0x00007FFEE35568A0}
2578103/2577535    1.165    0.000    1.866    0.000 {built-in method builtins.max}
 12036644    1.570    0.000    1.570    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:620(is_pickup)
  1013420    0.955    0.000    1.210    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\hos_simulation.py:165(check_daily_rest_requirement)
       91    0.001    0.000    1.100    0.012 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:979(two_opt_routes_neighborhood)
      469    0.008    0.000    1.099    0.002 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:1010(_apply_2opt_to_route)
    28639    0.348    0.000    1.069    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:201(get_move_attributes)
   803017    0.524    0.000    0.947    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:781(insert_task)
  4131188    0.837    0.000    0.837    0.000 {method 'get' of 'mappingproxy' objects}
  1177121    0.281    0.000    0.746    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\second_level.py:332(calculate_z2_score)
  5653955    0.739    0.000    0.739    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:624(is_delivery)
  8296856    0.624    0.000    0.624    0.000 C:\Python313\Lib\enum.py:1318(__deepcopy__)
    57278    0.418    0.000    0.582    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:253(_get_order_vehicle_assignments)
  8305600    0.577    0.000    0.577    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\first_level.py:184(<genexpr>)
  2970173    0.570    0.000    0.570    0.000 {built-in method math.sqrt}
  4001027    0.568    0.000    0.568    0.000 {built-in method builtins.len}
  4768008    0.534    0.000    0.534    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:487(get_current_max_daily_drive)
   192900    0.151    0.000    0.483    0.000 {method 'index' of 'list' objects}
  1468601    0.447    0.000    0.447    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:802(_invalidate_caches)
  3457713    0.442    0.000    0.442    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:493(get_current_max_daily_work)
   472684    0.253    0.000    0.401    0.000 D:\Projects\OQI_Project\Full Optimizer\VRPExample\heuristicapproach\tests\..\algo\epdt_data_structures.py:792(swap_tasks)
  1183259    0.362    0.000    0.362    0.000 {built-in method builtins.sorted}
